ZIPCode,State,City,Latitude,Longitude
00501,NY,Holtsville,40.79,-73.04
00501,NY,Internal Revenue Service,40.79,-73.04
00544,NY,Holtsville,40.79,-73.04
00544,NY,Internal Revenue Service,40.79,-73.04
01001,MA,Agawam,42.07,-72.62
01002,MA,Amherst,42.38,-72.5
01002,MA,Cushman,42.38,-72.5
01002,MA,Pelham,42.38,-72.5
01002,MA,South Amherst,42.38,-72.5
01003,MA,Amherst,42.39,-72.52
01004,MA,Amherst,42.38,-72.51
01005,MA,Barre,42.41,-72.11
01007,MA,Belchertown,42.28,-72.41
01008,MA,Blandford,42.18,-72.95
01009,MA,Bondsville,42.21,-72.34
01010,MA,Brimfield,42.13,-72.21
01010,MA,East Brimfield,42.13,-72.21
01011,MA,Chester,42.28,-72.98
01012,MA,Chesterfield,42.39,-72.84
01013,MA,Chicopee,42.16,-72.6
01013,MA,Willimansett,42.16,-72.6
01014,MA,Chicopee,42.18,-72.57
01020,MA,Chicopee,42.17,-72.57
01021,MA,Chicopee,42.18,-72.57
01022,MA,Chicopee,42.2,-72.55
01022,MA,Westover Afb,42.2,-72.55
01026,MA,Cummington,42.47,-72.92
01026,MA,West Cummington,42.47,-72.92
01027,MA,Easthampton,42.27,-72.68
01027,MA,E Hampton,42.27,-72.68
01027,MA,Mount Tom,42.27,-72.68
01027,MA,Westhampton,42.27,-72.68
01027,MA,Loudville,42.27,-72.68
01028,MA,East Longmeadow,42.07,-72.51
01028,MA,E Longmeadow,42.07,-72.51
01029,MA,East Otis,42.18,-73.05
01029,MA,Big Pond,42.18,-73.05
01029,MA,E Otis,42.18,-73.05
01030,MA,Feeding Hills,42.07,-72.68
01031,MA,Gilbertville,42.32,-72.19
01031,MA,Old Furnace,42.32,-72.19
01032,MA,Goshen,42.45,-72.8
01032,MA,Lithia,42.45,-72.8
01033,MA,Granby,42.26,-72.52
01034,MA,Granville,42.09,-72.94
01034,MA,Tolland,42.09,-72.94
01034,MA,Granville Center,42.09,-72.94
01034,MA,West Granville,42.09,-72.94
01035,MA,Hadley,42.35,-72.56
01035,MA,North Hadley,42.35,-72.56
01036,MA,Hampden,42.06,-72.42
01036,MA,Hampton,42.06,-72.42
01037,MA,Hardwick,42.36,-72.19
01038,MA,Hatfield,42.38,-72.61
01038,MA,West Hatfield,42.38,-72.61
01039,MA,Haydenville,42.4,-72.69
01039,MA,West Whately,42.4,-72.69
01040,MA,Holyoke,42.2,-72.63
01040,MA,Halyoke,42.2,-72.63
01041,MA,Holyoke,42.21,-72.61
01041,MA,Halyoke,42.21,-72.61
01050,MA,Huntington,42.27,-72.87
01050,MA,Montgomery,42.27,-72.87
01050,MA,Crescent Mills,42.27,-72.87
01050,MA,Hntgtn,42.27,-72.87
01050,MA,Knightville,42.27,-72.87
01050,MA,North Chester,42.27,-72.87
01050,MA,South Worthington,42.27,-72.87
01053,MA,Leeds,42.35,-72.7
01054,MA,Leverett,42.47,-72.49
01054,MA,East Leverett,42.47,-72.49
01054,MA,North Leverett,42.47,-72.49
01056,MA,Ludlow,42.18,-72.48
01057,MA,Monson,42.09,-72.32
01059,MA,North Amherst,42.41,-72.53
01059,MA,Amherst,42.41,-72.53
01060,MA,Northampton,42.32,-72.64
01060,MA,North Hampton,42.32,-72.64
01061,MA,Northampton,42.32,-72.69
01061,MA,North Hampton,42.32,-72.69
01062,MA,Florence,42.33,-72.68
01062,MA,Bay State Village,42.33,-72.68
01062,MA,Bay State Vlg,42.33,-72.68
01062,MA,Northampton,42.33,-72.68
01062,MA,North Hampton,42.33,-72.68
01063,MA,Northampton,42.32,-72.64
01063,MA,North Hampton,42.32,-72.64
01063,MA,Smith College,42.32,-72.64
01066,MA,North Hatfield,42.41,-72.65
01066,MA,N Hatfield,42.41,-72.65
01066,MA,No Hatfield,42.41,-72.65
01068,MA,Oakham,42.35,-72.04
01069,MA,Palmer,42.17,-72.33
01070,MA,Plainfield,42.52,-72.92
01071,MA,Russell,42.17,-72.86
01072,MA,Shutesbury,42.48,-72.42
01073,MA,Southampton,42.23,-72.73
01074,MA,South Barre,42.39,-72.1
01075,MA,South Hadley,42.24,-72.58
01075,MA,S Hadley,42.24,-72.58
01075,MA,So Hadley,42.24,-72.58
01075,MA,South Hadley Falls,42.24,-72.58
01077,MA,Southwick,42.05,-72.76
01079,MA,Thorndike,42.19,-72.33
01080,MA,Three Rivers,42.18,-72.36
01081,MA,Wales,42.06,-72.23
01082,MA,Ware,42.27,-72.27
01082,MA,Hardwick,42.27,-72.27
01083,MA,Warren,42.21,-72.19
