Code,Description
1223G0001X,General Practice
202C00000X,Independent Medical Examiner
204C00000X,Neuromusculoskeletal Medicine Sports Medicine
204R00000X,Electrodiagnostic Medicine
204D00000X,Neuromusculoskeletal Medicine & OMM
204F00000X,Transplant Surgery
207K00000X,Allergy & Immunology
207KA0200X,Allergy
207KI0005X,Clinical & Laboratory Immunology
207L00000X,Anesthesiology
207LA0401X,Addiction Medicine
207LC0200X,Critical Care Medicine
207LH0002X,Hospice and Palliative Medicine
207LP2900X,Pain Medicine
207LP3000X,Pediatric Anesthesiology
207N00000X,Dermatology
207NI0002X,Clinical & Laboratory Dermatological Immunology
207ND0900X,Dermatopathology
207ND0101X,MOHS-Micrographic Surgery
207NP0225X,Pediatric Dermatology
207NS0135X,Procedural Dermatology
207PT0002X,Medical Toxicology
207PP0204X,Pediatric Emergency Medicine
207PS0010X,Sports Medicine
207Q00000X,Family Medicine
207QA0401X,Addiction Medicine
207QA0000X,Adolescent Medicine
207QA0505X,Adult Medicine
207QG0300X,Geriatric Medicine
207QH0002X,Hospice and Palliative Medicine
207QB0002X,Obesity Medicine
207QS1201X,Sleep Medicine
207QS0010X,Sports Medicine
207R00000X,Internal Medicine
207RA0401X,Addiction Medicine
207RA0000X,Adolescent Medicine
207RA0001X,Advanced Heart Failure and Transplant Cardiology
207RA0201X,Allergy & Immunology
207RC0000X,Cardiovascular Disease
207RI0001X,Clinical & Laboratory Immunology
207RC0001X,Clinical Cardiac Electrophysiology
207RC0200X,Critical Care Medicine
207RE0101X,Endocrinology Diabetes & Metabolism
207RG0100X,Gastroenterology
207RG0300X,Geriatric Medicine
207RH0000X,Hematology
207RH0003X,Hematology & Oncology
207RI0008X,Hepatology
207RH0002X,Hospice and Palliative Medicine
207RH0005X,Hypertension Specialist
207RI0200X,Infectious Disease
207RI0011X,Interventional Cardiology
207RX0202X,Medical Oncology
207RN0300X,Nephrology
207RB0002X,Obesity Medicine
207RP1001X,Pulmonary Disease
207RR0500X,Rheumatology
207RS0012X,Sleep Medicine
207RS0010X,Sports Medicine
207RT0003X,Transplant Hepatology
207SG0202X,Clinical Biochemical Genetics
207SC0300X,Clinical Cytogenetic
207SG0201X,Clinical Genetics (M.D.)
207SG0203X,Clinical Molecular Genetics
207SM0001X,Molecular Genetic Pathology
207T00000X,Neurological Surgery
207U00000X,Nuclear Medicine
207UN0903X,In Vivo & In Vitro Nuclear Medicine
207UN0901X,Nuclear Cardiology
207UN0902X,Nuclear Imaging & Therapy
207V00000X,Obstetrics & Gynecology
207VC0200X,Critical Care Medicine
207VF0040X,Female Pelvic Medicine and Reconstructive Surgery
207VX0201X,Gynecologic Oncology
207VG0400X,Gynecology
207VH0002X,Hospice and Palliative Medicine
207VM0101X,Maternal & Fetal Medicine
207VB0002X,Obesity Medicine
207VX0000X,Obstetrics 
207VE0102X,Reproductive Endocrinology
207W00000X,Ophthalmology
207WX0200X,Ophthalmic Plastic and Reconstructive Surgery
207X00000X,Orthopaedic Surgery
207XS0114X,Adult Reconstructive Orthopaedic Surgery
207XX0004X,Foot and Ankle Surgery
207XS0106X,Hand Surgery 
207XS0117X,Orthopaedic Surgery of the Spine
207XX0801X,Orthopaedic Trauma
207XP3100X,Pediatric Orthopaedic Surgery
207XX0005X,Sports Medicine
207Y00000X,Otolaryngology
207YS0123X,Facial Plastic Surgery
207YX0602X,Otolaryngic Allergy
207YX0905X,Otolaryngology/Facial Plastic Surgery
207YX0901X,Otology & Neurotology
207YP0228X,Pediatric Otolaryngology
207YX0007X,Plastic Surgery within the Head & Neck
